Year,Total Kenai R. Catch,Kenai R. EEZ Catch,Escapement,Run,Lower Bound of Goal,Potential Yield,FEEZ,MFMT,MSST,Cumulative Escapement ,ACL ,Cumulative Catch ,Overfishing?,Overfished?,ACL Exceeded?
1999.00,2035.00,341.00,949.00,2985.00,700.00,590.00,,,,,,,,,
2000.00,1118.00,181.00,697.00,1815.00,700.00,178.00,,,,,,,,,
2001.00,1451.00,221.00,738.00,2190.00,700.00,259.00,,,,,,,,,
2002.00,2340.00,360.00,1127.00,3467.00,700.00,786.00,,,,,,,,,
2003.00,3037.00,431.00,1402.00,4440.00,700.00,1134.00,0.10,0.20,1750.00,4913.00,2947.00,1534.00,No,No,No
2004.00,4015.00,716.00,1691.00,5705.00,700.00,1707.00,0.11,0.23,1750.00,5655.00,4064.00,1909.00,No,No,No
2005.00,4455.00,857.00,1654.00,6109.00,700.00,1811.00,0.12,0.26,1750.00,6612.00,5697.00,2585.00,No,No,No
2006.00,957.00,107.00,1892.00,2849.00,700.00,1299.00,0.11,0.30,1750.00,7766.00,6737.00,2471.00,No,No,No
2007.00,2638.00,774.00,964.00,3602.00,700.00,1038.00,0.13,0.31,1750.00,7603.00,6989.00,2886.00,No,No,No
2008.00,1374.00,220.00,709.00,2082.00,700.00,228.00,0.13,0.30,1750.00,6910.00,6084.00,2674.00,No,No,No
2009.00,1582.00,328.00,848.00,2430.00,700.00,476.00,0.13,0.28,1750.00,6067.00,4852.00,2285.00,No,No,No
2010.00,2558.00,672.00,1038.00,3596.00,700.00,1011.00,0.14,0.28,1750.00,5452.00,4052.00,2100.00,No,No,No
2011.00,4982.00,1140.00,1281.00,6263.00,700.00,1721.00,0.17,0.25,1750.00,4840.00,4474.00,3134.00,No,No,No
2012.00,3557.00,1214.00,1213.00,4770.00,700.00,1727.00,0.19,0.27,1750.00,5089.00,5162.00,3573.00,No,No,No
2013.00,2648.00,683.00,980.00,3628.00,700.00,963.00,0.20,0.29,1750.00,5360.00,5897.00,4036.00,No,No,No
2014.00,2186.00,504.00,1218.00,3404.00,700.00,1022.00,0.19,0.30,1750.00,5731.00,6443.00,4212.00,No,No,No
2015.00,2419.00,238.00,1400.00,3819.00,700.00,938.00,0.17,0.29,1750.00,6092.00,6371.00,3778.00,No,No,No
2016.00,2592.00,400.00,1120.00,3712.00,700.00,820.00,0.16,0.28,1750.00,5932.00,5469.00,3038.00,No,No,No
2017.00,1525.00,202.00,1071.00,2596.00,700.00,573.00,0.12,0.25,1750.00,5790.00,4315.00,2025.00,No,No,No
2018.00,679.00,97.00,887.00,1566.00,700.00,284.00,0.10,0.24,1750.00,5696.00,3637.00,1440.00,No,No,No
2019.00,2085.00,252.00,1457.00,3542.00,700.00,1009.00,0.08,0.24,1750.00,5935.00,3624.00,1189.00,No,No,No
2020.00,888.00,50.00,1506.00,2394.00,750.00,806.00,0.07,0.25,1775.00,6041.00,3492.00,1001.00,No,No,No
2021.00,1751.00,256.00,2242.00,3992.00,750.00,1747.00,0.06,0.31,1800.00,7163.00,4420.00,857.00,No,No,No