Year,Total Catch,EEZ Catch ,OFL,Max ABC,Max ABC Exceeded?
1999,26144.00,1257.00,74764.00,67288.00,No
2001,84759.00,14518.00,74764.00,67288.00,No
2003,60415.00,13424.00,74764.00,67288.00,No
2005,62780.00,16016.00,74764.00,67288.00,No
2007,163094.00,41584.00,74764.00,67288.00,No
2009,244571.00,74764.00,74764.00,67288.00,Yes
2011,47718.00,6313.00,74764.00,67288.00,No
2013,63904.00,12718.00,74764.00,67288.00,No
2015,70815.00,9509.00,74764.00,67288.00,No
2017,196211.00,23323.00,74764.00,67288.00,No
2019,99581.00,15691.00,74764.00,67288.00,No
2021,111708.00,25560.00,74764.00,67288.00,No